campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,gender,shopping,video_p25,video_p50,video_p75,video_p100
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-29,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,female,CS,,,,
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-29,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,male,CS,,,,
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-29,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,unknown,CS,,,,
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,121609,83485,1.456657,176,0.144726,1.06733,1.544705,187.85,136.0,0,1.38125,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,288.0,0,0.652257,8.0,0,0,288.0,0,0.652257,0,0,0,0.0,0,0,0.0,0,0,,,,136.0,female,CS,97.0,40.0,18.0,6.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,163370,109860,1.487074,290,0.177511,0.861931,1.530024,249.96,209.0,0,1.195981,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,490.0,0,0.510122,11.0,0,0,490.0,0,0.510122,0,0,0,0.0,0,0,0.0,0,0,,,,209.0,male,CS,180.0,64.0,32.0,20.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,1630,1243,1.311344,4,0.245399,0.585,1.435583,2.34,3.0,0,0.78,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,0.26,0.0,0,0,9.0,0,0.26,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,unknown,CS,4.0,1.0,,
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,26597,22054,1.205994,43,0.161672,0.885814,1.432116,38.09,14.0,0,2.720714,4.0,0,9.5225,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1502.0,0,0.02536,3.0,0,0,1502.0,0,0.02536,0,0,0,0.0,0,0,0.0,0,0,,,,14.0,female,CS,220.0,72.0,41.0,30.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,26955,21903,1.230653,42,0.155815,0.909286,1.416806,38.19,12.0,0,3.1825,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1669.0,0,0.022882,10.0,0,0,1669.0,0,0.022882,0,0,0,0.0,0,0,0.0,0,0,,,,12.0,male,CS,220.0,75.0,38.0,26.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,160,136,1.176471,0,0.0,0.0,2.0625,0.33,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,0.036667,0.0,0,0,9.0,0,0.036667,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,unknown,CS,1.0,1.0,1.0,1.0
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-11-01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,female,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,67864,63250,1.072949,83,0.122303,1.189639,1.454969,98.74,61.0,0,1.618689,1.0,0,98.74,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,62.0,0,1.592581,1.0,0,0,62.0,0,1.592581,0,0,0,0.0,0,0,0.0,0,0,,,,61.0,female,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,68804,65407,1.051936,100,0.14534,1.0001,1.453549,100.01,77.0,0,1.298831,1.0,0,100.01,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,80.0,0,1.250125,3.0,0,0,80.0,0,1.250125,0,0,0,0.0,0,0,0.0,0,0,,,,77.0,male,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,533,506,1.05336,3,0.562852,0.28,1.575985,0.84,1.0,0,0.84,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.42,1.0,0,0,2.0,0,0.42,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,unknown,CS,,,,
[TFG] Corrida Story Final,120235177716760087,LINK_CLICKS,2025-11-01,16741,14372,1.164834,270,1.612807,0.272148,4.389224,73.48,210.0,0,0.349905,74.0,0,0.992973,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,274.0,0,0.268175,36.0,0,0,274.0,0,0.268175,0,0,0,0.0,0,0,0.0,0,0,,,,210.0,female,CS,43.0,18.0,13.0,11.0
