campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,publisher_platform,shopping,video_p25,video_p50,video_p75,video_p100
[TFG] Jantar de Halloween Outback,120233541559050087,LINK_CLICKS,2025-10-28,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,CS,,,,
[TFG] Night Run,120234004302300087,LINK_CLICKS,2025-10-28,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,CS,,,,
[TFG] Night Run,120234004302300087,LINK_CLICKS,2025-10-28,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,CS,,,,
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-10-28,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,CS,,,,
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,86578,64365,1.34511,182,0.210215,0.691955,1.454593,125.935722,110.0,0,1.14487,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,232.0,0,0.542826,8.0,0,0,232.0,0,0.542826,0,0,0,0.0,0,0,0.0,0,0,,,,110.0,facebook,CS,51.0,13.0,10.0,6.0
ALC Continente Night RUN - Vendas!,120232284160870087,OUTCOME_AWARENESS,2025-11-01,200031,136497,1.465461,288,0.143978,1.091022,1.570828,314.214278,238.0,0,1.320228,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,555.0,0,0.566152,11.0,0,0,555.0,0,0.566152,0,0,0,0.0,0,0,0.0,0,0,,,,238.0,instagram,CS,230.0,92.0,40.0,20.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,18935,15044,1.258641,54,0.285186,0.477901,1.362906,25.806631,3.0,0,8.60221,1.0,0,25.806631,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1779.0,0,0.014506,10.0,0,0,1779.0,0,0.014506,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,facebook,CS,183.0,63.0,38.0,24.0
ALC GIFT CARD,120232929013550087,OUTCOME_AWARENESS,2025-11-01,34777,28785,1.208164,31,0.089139,1.638818,1.460832,50.803369,23.0,0,2.208842,3.0,0,16.934456,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1401.0,0,0.036262,3.0,0,0,1401.0,0,0.036262,0,0,0,0.0,0,0,0.0,0,0,,,,23.0,instagram,CS,258.0,85.0,42.0,33.0
[TFG] Night Run 02,120234219373560087,LINK_CLICKS,2025-11-01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,CS,,,,
[ALC] Corrida Final,120235177303150087,OUTCOME_AWARENESS,2025-11-01,20600,18899,1.090005,34,0.165049,0.884118,1.459223,30.06,5.0,0,6.012,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,4.294286,2.0,0,0,7.0,0,4.294286,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,facebook,CS,,,,
