plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503001,274,128,2.117433,63.759565,0.033209652543896746,46.715328467153284
Google Ads,faixa_etaria,503001,504,215,3.55057,95.2123,0.03729108529045092,42.65873015873016
Google Ads,faixa_etaria,503001,266,160,3.634855,63.290043,0.057431703751568,60.150375939849624
Google Ads,faixa_etaria,503001,297,117,2.701572,50.70671,0.05327839254410314,39.39393939393939
Google Ads,faixa_etaria,503001,193,74,1.825172,46.325757,0.039398643825723126,38.34196891191709
Google Ads,faixa_etaria,503001,437,157,4.292468,72.763987,0.05899165475910494,35.92677345537758
Google Ads,faixa_etaria,503001,297,140,2.895119,51.840909,0.05584622368407931,47.13804713804714
Google Ads,faixa_etaria,503001,305,133,2.28583,64.490913,0.03544421831956387,43.606557377049185
Google Ads,faixa_etaria,503001,351,135,2.228293,47.507576,0.04690395064568228,38.46153846153847
Google Ads,faixa_etaria,503001,314,141,2.862507,54.762354,0.05227143814891522,44.904458598726116
Google Ads,faixa_etaria,503001,300,108,1.938289,49.083333,0.03948975918159429,36.0
Google Ads,faixa_etaria,503001,349,126,3.762434,78.355823,0.04801728647531403,36.10315186246418
Google Ads,faixa_etaria,503001,279,172,3.162104,84.48823,0.037426562256068094,61.648745519713266
Google Ads,faixa_etaria,503001,312,150,2.972586,55.075757,0.05397267621759606,48.07692307692308
Google Ads,faixa_etaria,503001,343,129,2.849224,67.333334,0.042315207501829634,37.60932944606414
Google Ads,faixa_etaria,503001,297,163,3.04181,61.160257,0.049735075508266745,54.882154882154886
Google Ads,faixa_etaria,503001,318,131,2.951026,59.404472,0.04967683241086631,41.19496855345912
Google Ads,faixa_etaria,503001,346,109,2.597741,53.181819,0.04884641121432872,31.502890173410403
Google Ads,faixa_etaria,503001,327,108,2.4741,43.100146,0.057403517844231894,33.02752293577982
Google Ads,faixa_etaria,503001,301,157,3.01,88.662047,0.03394913722215324,52.159468438538205
Google Ads,faixa_etaria,503001,357,120,2.537425,44.992426,0.05639671441588857,33.61344537815126
Google Ads,faixa_etaria,503001,382,132,3.581055,52.625001,0.06804854977579954,34.55497382198953
Google Ads,faixa_etaria,503001,246,104,3.45417,50.141882,0.06888792088019352,42.27642276422765
Google Ads,faixa_etaria,503001,348,142,3.243925,56.729166,0.05718266684900673,40.804597701149426
Google Ads,faixa_etaria,503001,87,63,0.782148,26.214286,0.029836708121670753,72.41379310344827
Google Ads,faixa_etaria,503001,418,219,2.972119,116.354362,0.02554368352773917,52.39234449760766
Google Ads,faixa_etaria,503001,429,145,2.769189,68.341432,0.04051991477146689,33.7995337995338
Google Ads,faixa_etaria,503001,273,152,1.837628,60.28352,0.0304830905693629,55.67765567765568
Google Ads,faixa_etaria,503001,425,141,2.527038,58.283358,0.04335779692034903,33.1764705882353
Google Ads,faixa_etaria,503001,453,141,2.264181,53.150184,0.04259968319206572,31.125827814569533
Google Ads,faixa_etaria,503001,316,118,1.916213,43.95095,0.04359889831732875,37.34177215189873
Google Ads,faixa_etaria,503001,442,127,2.058101,42.821631,0.04806218147085524,28.733031674208142
Google Ads,faixa_etaria,503001,336,187,2.411458,83.565004,0.02885727140035798,55.654761904761905
Google Ads,faixa_etaria,503001,359,174,2.640332,67.508991,0.03911082006839652,48.467966573816156
Google Ads,faixa_etaria,503001,413,162,2.308591,50.85444,0.045396055880273185,39.22518159806295
Google Ads,faixa_etaria,503001,336,146,1.70039,49.586581,0.034291333778386536,43.452380952380956
Google Ads,faixa_etaria,503001,273,96,1.105256,32.852004,0.03364348792846853,35.16483516483517
Google Ads,faixa_etaria,503001,227,90,1.242884,50.833047,0.02445031477259272,39.647577092511014
Google Ads,faixa_etaria,503001,266,93,2.585101,28.01129,0.09228782394527349,34.962406015037594
Google Ads,faixa_etaria,503001,266,102,3.316471,44.251946,0.07494520127996179,38.34586466165413
Google Ads,faixa_etaria,503001,269,84,2.722029,30.133334,0.09033281879794648,31.226765799256505
Google Ads,faixa_etaria,503001,184,77,4.823823,24.492424,0.196951636963332,41.84782608695652
Google Ads,faixa_etaria,503001,211,81,5.072548,32.34091,0.15684617408724738,38.388625592417064
Google Ads,faixa_etaria,503001,200,92,5.778781,42.249999,0.13677588489410378,46.0
Google Ads,faixa_etaria,503001,330,100,6.603744,24.976191,0.2644015654748957,30.303030303030305
Google Ads,faixa_etaria,503001,331,98,8.411309,31.516666,0.26688447946873567,29.607250755287005
Google Ads,faixa_etaria,503001,610,201,21.058236,91.944175,0.2290328452019935,32.950819672131146
