campaign_id,reach,conversion,cost_per_conversion,ctr,cpm,spend,cpc,conversion_rate,clicks,impressions,frequency,shopping,shopping_sigla,campaign_name,objective_type
1872627587449090,3347,0,0.0,1.16,58.67,297.61,5.04,0.0,59,5073,1.52,Nacoes Shopping,NS,TRAF - PAIS 26 ,TRAFFIC
1872627476581490,104892,0,0.0,0.21,1.98,500.0,0.93,0.0,540,252838,2.41,Nacoes Shopping,NS,ALC - PAIS 26 ,REACH
1869534510406689,10101,0,0.0,0.0,11.47,212.83,0.0,0.0,0,18548,1.84,Nacoes Shopping,NS,Interações com a comunidade - NS,ENGAGEMENT
1869534432183409,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - CIRCO,REACH
1869534270825826,98334,0,0.0,0.0,2.33,500.0,0.0,0.0,0,214838,2.18,Nacoes Shopping,NS,ALC - SALE,REACH
1866451828239378,59325,0,0.0,0.0,1.77,349.99,0.0,0.0,0,197475,3.33,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451636143266,11439,0,0.0,27.28,5.28,500.0,0.02,0.0,25829,94684,8.28,Nacoes Shopping,NS,TRAF - NAMORADOS,TRAFFIC
1866441986593986,88756,0,0.0,0.2,1.97,499.99,1.0,0.0,500,253999,2.86,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1863928955315249,20162,0,0.0,16.09,4.1,500.0,0.03,0.0,19608,121895,6.05,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1863928702907457,98391,0,0.0,0.23,2.0,500.0,0.87,0.0,574,249511,2.54,Nacoes Shopping,NS,ALC - PROMO MAES,REACH
1855686889040914,50216,0,0.0,0.0,1.96,299.98,0.0,0.0,0,152789,3.04,Nacoes Shopping,NS,ALC - Carna PET,REACH
1855686756345922,44923,0,0.0,0.0,1.92,299.82,0.0,0.0,0,155922,3.47,Nacoes Shopping,NS,ALC - Bloko Rosa,REACH
1855492566896834,45445,0,0.0,0.0,1.69,499.99,0.0,0.0,0,296297,6.52,Nacoes Shopping,NS,ALC - Smart Zoo,REACH
1854324488425522,35457,0,0.0,0.0,1.77,241.91,0.0,0.0,0,136337,3.85,Nacoes Shopping,NS,ALC - LIQUIDA,REACH
1854324205639697,23993,0,0.0,0.0,1.62,199.99,0.0,0.0,0,123628,5.15,Nacoes Shopping,NS,ALC - FERIAS NACOES SHOPPING,REACH
1850600369247313,50185,0,0.0,0.0,2.18,349.85,0.0,0.0,0,160128,3.19,Nacoes Shopping,NS,ALC - LEGUEIROS,REACH
1849888269536369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Aramis ,ENGAGEMENT
1849887841738834,105898,0,0.0,0.13,2.67,1345.66,2.03,0.0,662,503444,4.75,Nacoes Shopping,NS,ALC - NATAL 25 02,REACH
1849768886744178,47588,0,0.0,0.0,3.04,300.0,0.0,0.0,0,98771,2.08,Nacoes Shopping,NS,ALC - BLACK FRIDAY - NS,REACH
1848504928619618,54843,0,0.0,13.41,5.03,1840.98,0.04,0.0,49091,366209,6.68,Nacoes Shopping,NS,TRAF - NATAL 25,TRAFFIC
1848504162177105,46650,0,0.0,0.17,3.57,519.8,2.14,0.0,243,145491,3.12,Nacoes Shopping,NS,ALC - NATAL 25,REACH
1847432144410706,27716,0,0.0,0.0,2.19,130.27,0.0,0.0,0,59530,2.15,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
1847431562326049,21337,0,0.0,0.0,2.31,111.27,0.0,0.0,0,48195,2.26,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
1847431714944034,30640,0,0.0,0.19,2.24,151.09,1.16,0.0,130,67578,2.21,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
1847431181554881,21102,0,0.0,0.0,3.91,138.45,138.45,0.0,1,35410,1.68,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
1847429807403074,34109,0,0.0,0.0,3.47,200.0,200.0,0.0,1,57666,1.69,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
1844352110838818,56592,0,0.0,0.0,2.23,499.83,0.0,0.0,0,224621,3.97,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
1844350458030129,55082,0,0.0,0.0,2.23,499.8,0.0,0.0,0,224033,4.07,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
1842808228610226,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Baby shark ,REACH
1841798413913185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Conteúdos Ago/Set ,REACH
1839172523773954,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Conteúdos  de Julho/Ago ,REACH
1839171851594785,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Copo Stitch ,REACH
1837986374341105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Tres porquinhos ,REACH
1837827299194945,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Cafés ,REACH
1837825955991570,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Festa junina pet,ENGAGEMENT
1837825011433617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Copo smurf ,REACH
1837823875988513,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC -  tendência athleisure ,REACH
1836365551154273,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Villa - Vinicius Camilo ,REACH
1836365112269874,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - planet games,REACH
1836105652221986,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Cafés,REACH
1834189805149297,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Menu Mamma Mia,REACH
1834024046778385,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Panda Cafe,ENGAGEMENT
1834023865172002,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Campanha Namorados,REACH
1832310190695458,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
1832195984469169,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Boliche,REACH
1832195369412610,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach - show beatles,REACH
1831563577497601,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Promo mães,REACH
1830747281548321,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
1830746252922946,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
1830745925410866,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Promo mães,REACH
1828954373297185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance | Ovo cacau show,REACH
1828407150156946,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance | Dino,REACH
1828314519850002,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance | Abr,REACH
1827595524859954,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC | Loja Me.linda,REACH
1827595014894625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ENG | Outback ,ENGAGEMENT
1827046369261585,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Visualizações de vídeo | Março 25,VIDEO_VIEWS
1826392596491314,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance | Outback ,REACH
1826236413448242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC | St Patricks Festival,REACH
1824583004169233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Outback ,REACH
1824314134904865,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ENG - Carnaval,ENGAGEMENT
1823854793231362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade | Cassol ,ENGAGEMENT
1823699330763778,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC | Vídeo Argentinos,REACH
1823040792795217,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interações com a Comunidade - Fev 25,ENGAGEMENT
1823040324441121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Fev,REACH
1822766646405122,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,ALC - Mix nutella BK,REACH
1822522215426082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Musical Lilo Stich,REACH
1821790933462033,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - fábrica de chocolate ,REACH
1821235597787186,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interações com a comunidade - Jan 25,ENGAGEMENT
1821234482256897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach - Gloss honey ,REACH
1820714949888002,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach | Space park ,REACH
1818078097231889,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Traffic - Natal - Institucional,TRAFFIC
1817609919756402,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Community interaction - Trono pet,ENGAGEMENT
1817609770112114,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach -Natal,REACH
1817439629678641,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach - Natal 02,REACH
1816174292453393,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach - BF ,REACH
1816174151943202,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Community interaction - Black Friday ,ENGAGEMENT
1815433664760850,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Reach - Criativos Novembro,REACH
1815433202016337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Traffic - Natal 2,TRAFFIC
1815093378942994,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Traffic - Promo Natal,TRAFFIC
1814982629549185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Novembro,ENGAGEMENT
1814982165049377,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Vídeos Novembro,REACH
1814439736065074,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Chegada do papai noel NS ,REACH
1811358948673554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Tráfego - App instal - NS,TRAFFIC
1810464998160434,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Shakepistache ,ENGAGEMENT
1810464590019617,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Milkmoo,REACH
1810109298355250,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Promo Natura 2024 - Tráfego,TRAFFIC
1810108348443697,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Promo Natura 2024 - Alcance,REACH
1809919349622786,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Alcance - Milkmoo,REACH
1809919004666930,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Interação com a comunidade - Shake Pistache ,ENGAGEMENT
1807304475777041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NSpromopais24engaja,ENGAGEMENT
1806749763596289,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NSpromopais24,TRAFFIC
1803766128488498,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NSMalvado24,VIDEO_VIEWS
1800846207854594,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NSnamorados24II,VIDEO_VIEWS
1800600888459297,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NSnamorados24,VIDEO_VIEWS
1797496106400786,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NS maes 24,VIDEO_VIEWS
1793884858893329,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Musical Páscoa 24,VIDEO_VIEWS
1793877151496257,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Gigante em diversão,ENGAGEMENT
1790987037231105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,NS Castelo Inflável,VIDEO_VIEWS
1788460577402897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Nacoes Shopping,NS,Mega Sale 2024,VIDEO_VIEWS
